127.0.0.1 - - [27/Jul/2017:14:18:43 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:18:46 +0530] "GET /BIKES/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:19:06 +0530] "GET /BIKES/home HTTP/1.1" 200 7567
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:19:07 +0530] "GET /BIKES/resources/images/ravi123.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:19:07 +0530] "GET /BIKES/resources/images/ravi100.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:19:07 +0530] "GET /BIKES/resources/images/ravi6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:19:07 +0530] "GET /BIKES/resources/images/ravi7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:19:07 +0530] "GET /BIKES/resources/images/ravi1.JPG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:19:07 +0530] "GET /BIKES/resources/images/ravi23.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:20:23 +0530] "GET /BIKES/getproductform HTTP/1.1" 200 5388
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:20:41 +0530] "GET /BIKES/all/product/getallproducts HTTP/1.1" 200 9469
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:20:41 +0530] "GET /BIKES/resources/images/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:20:41 +0530] "GET /BIKES/resources/images/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:20:41 +0530] "GET /BIKES/resources/images/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:20:42 +0530] "GET /BIKES/resources/images/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:20:42 +0530] "GET /BIKES/resources/images/7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:20:42 +0530] "GET /BIKES/resources/images/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:20:42 +0530] "GET /BIKES/resources/images/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:20:42 +0530] "GET /BIKES/resources/images/9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:20:42 +0530] "GET /BIKES/resources/images/10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:20:42 +0530] "GET /BIKES/resources/images/11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2017:14:21:18 +0530] "GET /BIKES/all/registrationform HTTP/1.1" 200 7073
