127.0.0.1 - - [15/Aug/2017:23:40:03 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:40:08 +0530] "GET /BIKES/ HTTP/1.1" 200 8376
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:40:09 +0530] "GET /BIKES/resources/images/universe.jpg HTTP/1.1" 200 116182
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:40:09 +0530] "GET /BIKES/resources/images/ravi123.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:40:09 +0530] "GET /BIKES/resources/images/ravi100.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:40:09 +0530] "GET /BIKES/resources/images/ravi23.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:40:09 +0530] "GET /BIKES/resources/images/ravi34.jpg HTTP/1.1" 200 88575
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:40:09 +0530] "GET /BIKES/resources/images/ravi35.jpg HTTP/1.1" 200 410398
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:40:09 +0530] "GET /BIKES/resources/images/ducati.jpg HTTP/1.1" 200 61772
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:41:46 +0530] "GET /BIKES/ HTTP/1.1" 200 8376
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:42:10 +0530] "GET /BIKES/resources/images/universe.jpg HTTP/1.1" 200 116182
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:42:27 +0530] "GET /BIKES/resources/images/ravi100.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:42:27 +0530] "GET /BIKES/resources/images/ravi123.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:42:27 +0530] "GET /BIKES/resources/images/ravi34.jpg HTTP/1.1" 200 88575
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:42:27 +0530] "GET /BIKES/resources/images/ravi23.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:42:28 +0530] "GET /BIKES/resources/images/ducati.jpg HTTP/1.1" 200 61772
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:42:28 +0530] "GET /BIKES/resources/images/ravi35.jpg HTTP/1.1" 200 410398
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:42:47 +0530] "GET /BIKES/ HTTP/1.1" 200 8376
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:42:59 +0530] "GET /BIKES/resources/images/universe.jpg HTTP/1.1" 200 116182
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:42:59 +0530] "GET /BIKES/resources/images/ravi123.jpg HTTP/1.1" 200 1206726
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:42:59 +0530] "GET /BIKES/resources/images/ravi100.jpg HTTP/1.1" 200 272273
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:42:59 +0530] "GET /BIKES/resources/images/ravi23.jpg HTTP/1.1" 200 366437
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:42:59 +0530] "GET /BIKES/resources/images/ravi34.jpg HTTP/1.1" 200 88575
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:42:59 +0530] "GET /BIKES/resources/images/ravi35.jpg HTTP/1.1" 200 410398
0:0:0:0:0:0:0:1 - - [15/Aug/2017:23:42:59 +0530] "GET /BIKES/resources/images/ducati.jpg HTTP/1.1" 200 61772
